unix,date,symbol,open,high,low,close,Volume BTT,Volume USD
1651014000,4/26/2022 23:00,BTT/USD,0.0017198,0.0017198,0.00171,0.00171,36072.23954,61.68352961
1651010400,4/26/2022 22:00,BTT/USD,0.00171,0.00171,0.00171,0.00171,171573.5825,293.390826
1651006800,4/26/2022 21:00,BTT/USD,0.00171,0.00171,0.00171,0.00171,3571,6.10641
1651003200,4/26/2022 20:00,BTT/USD,0.0016205,0.0017571,0.0016137,0.0017571,643341.7552,1130.415798
1650999600,4/26/2022 19:00,BTT/USD,0.0016314,0.0017498,0.0016205,0.0016205,86400.81388,140.0125189
1650996000,4/26/2022 18:00,BTT/USD,0.0016197,0.0016197,0.0016197,0.0016197,18111.34886,29.33495176
1650988800,4/26/2022 16:00,BTT/USD,0.0017242,0.001809,0.0016195,0.0016195,85953.19811,139.2012043
1650985200,4/26/2022 15:00,BTT/USD,0.001701,0.0018155,0.0016149,0.001615,1362773.418,2200.87907
1650981600,4/26/2022 14:00,BTT/USD,0.0017056,0.0017056,0.0017035,0.0017035,389530,663.564355
1650974400,4/26/2022 12:00,BTT/USD,0.0017035,0.0018499,0.0017035,0.0017035,215680.9931,367.4125718
1650970800,4/26/2022 11:00,BTT/USD,0.0017021,0.0017021,0.0017021,0.0017021,12481.64965,21.24501587
1650967200,4/26/2022 10:00,BTT/USD,0.0017695,0.0017695,0.001701,0.001701,750534.1916,1276.65866
1650960000,4/26/2022 8:00,BTT/USD,0.0017886,0.0018,0.0017695,0.0018,490385.2466,882.6934439
1650952800,4/26/2022 6:00,BTT/USD,0.0018822,0.0018822,0.0017886,0.0017886,299304.006,535.335145
1650949200,4/26/2022 5:00,BTT/USD,0.0018822,0.0018822,0.0018486,0.0018822,20654.44618,38.8757986
1650938400,4/26/2022 2:00,BTT/USD,0.0018486,0.0018822,0.0018486,0.0018822,99653.7458,187.5682803
1650931200,4/26/2022 0:00,BTT/USD,0.0018001,0.0018001,0.0018001,0.0018001,26468.3358,47.64565127
1650927600,4/25/2022 23:00,BTT/USD,0.0018001,0.0018001,0.0018001,0.0018001,14602.48393,26.28593133
1650924000,4/25/2022 22:00,BTT/USD,0.0017888,0.0017888,0.0017888,0.0017888,2500,4.472
1650916800,4/25/2022 20:00,BTT/USD,0.0017856,0.0018835,0.0017856,0.0018835,214437.2777,403.8926126
1650913200,4/25/2022 19:00,BTT/USD,0.00178,0.0018842,0.0017799,0.0018842,154798.0141,291.6704182
1650909600,4/25/2022 18:00,BTT/USD,0.0017758,0.0017758,0.0017758,0.0017758,5670.794634,10.07019711
1650906000,4/25/2022 17:00,BTT/USD,0.0018848,0.0018851,0.0017733,0.0018843,154708.484,291.5171965
1650902400,4/25/2022 16:00,BTT/USD,0.0017708,0.0018851,0.0017708,0.0018848,220565.7863,415.7223941
1650898800,4/25/2022 15:00,BTT/USD,0.0018844,0.0018844,0.0018844,0.0018844,12704.30906,23.94
1650895200,4/25/2022 14:00,BTT/USD,0.001884,0.0018852,0.001884,0.0018852,26468.3358,49.89810665
1650884400,4/25/2022 11:00,BTT/USD,0.0017676,0.0017676,0.001767,0.001767,76283.74,134.7933686
1650880800,4/25/2022 10:00,BTT/USD,0.00179,0.00179,0.001766,0.001766,367620.3754,649.2175829
1650877200,4/25/2022 9:00,BTT/USD,0.0018965,0.0018965,0.0018965,0.0018965,13150.54047,24.94
1650873600,4/25/2022 8:00,BTT/USD,0.0018975,0.0018995,0.00179,0.00179,121697.6517,217.8387966
1650870000,4/25/2022 7:00,BTT/USD,0.00179,0.00179,0.00179,0.00179,50048.02468,89.58596417
1650866400,4/25/2022 6:00,BTT/USD,0.00179,0.00179,0.00179,0.00179,285340.4322,510.7593736
1650862800,4/25/2022 5:00,BTT/USD,0.00179,0.00179,0.00179,0.00179,14801.26304,26.49426083
1650859200,4/25/2022 4:00,BTT/USD,0.0018999,0.001938,0.0018999,0.001938,177244.3771,343.4996028
1650855600,4/25/2022 3:00,BTT/USD,0.0018256,0.0018999,0.00179,0.0018999,469819.9811,892.6109821
1650837600,4/24/2022 22:00,BTT/USD,0.0018253,0.0018253,0.0018253,0.0018253,22936.56756,41.86611677
1650834000,4/24/2022 21:00,BTT/USD,0.0018253,0.0018253,0.0018253,0.0018253,300000,547.59
1650830400,4/24/2022 20:00,BTT/USD,0.0019259,0.0019409,0.0019259,0.0019409,160000,310.544
1650826800,4/24/2022 19:00,BTT/USD,0.0018999,0.0019259,0.0018205,0.0019259,20666.29212,39.80121199
1650819600,4/24/2022 17:00,BTT/USD,0.0018201,0.0018203,0.0018201,0.0018203,109481.32,199.2888468
1650812400,4/24/2022 15:00,BTT/USD,0.0018969,0.0018999,0.0018969,0.0018999,246327.3728,467.9973756
1650805200,4/24/2022 13:00,BTT/USD,0.0018972,0.0018972,0.001806,0.001806,16132.7407,29.1357297
1650801600,4/24/2022 12:00,BTT/USD,0.0018978,0.0018978,0.0018978,0.0018978,16208.24112,30.76
1650798000,4/24/2022 11:00,BTT/USD,0.0018334,0.001898,0.0018059,0.001898,227140.1505,431.1120056
1650790800,4/24/2022 9:00,BTT/USD,0.0018334,0.0018334,0.0018334,0.0018334,80000,146.672
1650787200,4/24/2022 8:00,BTT/USD,0.0018334,0.0018334,0.0018334,0.0018334,15628.04742,28.65246214
1650751200,4/23/2022 22:00,BTT/USD,0.0019797,0.0019797,0.0018018,0.0018022,754867.0245,1360.421352
1650747600,4/23/2022 21:00,BTT/USD,0.0018839,0.0019799,0.0018839,0.0019799,727312.0245,1440.005077
1650744000,4/23/2022 20:00,BTT/USD,0.0018005,0.0018006,0.0018005,0.0018005,72450.33333,130.4468252
1650736800,4/23/2022 18:00,BTT/USD,0.0018839,0.0018839,0.0018839,0.0018839,9268.007856,17.46
1650726000,4/23/2022 15:00,BTT/USD,0.0017841,0.0017841,0.0017841,0.0017841,15915.46392,28.39477917
1650722400,4/23/2022 14:00,BTT/USD,0.0017832,0.0017832,0.0017832,0.0017832,73838.33333,131.668516
1650708000,4/23/2022 10:00,BTT/USD,0.001782,0.001782,0.001782,0.001782,21693.39541,38.65763063
1650679200,4/23/2022 2:00,BTT/USD,0.0017808,0.0017808,0.0017808,0.0017808,10000,17.808
1650661200,4/22/2022 21:00,BTT/USD,0.0017899,0.0018858,0.0017899,0.0018858,40000,75.432
1650657600,4/22/2022 20:00,BTT/USD,0.0017785,0.0017899,0.0017784,0.0017899,414023.2643,741.0602408
1650654000,4/22/2022 19:00,BTT/USD,0.001886,0.001886,0.001886,0.001886,10577.94274,19.95
1650650400,4/22/2022 18:00,BTT/USD,0.001886,0.001887,0.001886,0.001887,23147.90944,43.68010511
1650646800,4/22/2022 17:00,BTT/USD,0.0017778,0.0017779,0.0017778,0.0017779,48988.05946,87.09587091
